"field1","field2","win1","tie","win2","win1.adj","win2.adj","instrument"
"111","110",4,4,2,6,4,"violin"
"111","101",4,2,4,5,5,"violin"
"111","100",6,2,2,7,3,"violin"
"111","011",3,4,3,5,5,"violin"
"111","010",8,0,2,8,2,"violin"
"111","001",7,2,1,8,2,"violin"
"111","000",7,2,1,8,2,"violin"
"110","101",6,2,2,7,3,"violin"
"110","100",6,2,2,7,3,"violin"
"110","011",7,3,0,8.5,1.5,"violin"
"110","010",3,3,4,4.5,5.5,"violin"
"110","001",7,3,0,8.5,1.5,"violin"
"110","000",7,1,2,7.5,2.5,"violin"
"101","100",5,2,3,6,4,"violin"
"101","011",5,3,2,6.5,3.5,"violin"
"101","010",4,2,4,5,5,"violin"
"101","001",6,1,3,6.5,3.5,"violin"
"101","000",7,1,2,7.5,2.5,"violin"
"100","011",5,2,3,6,4,"violin"
"100","010",3,2,5,4,6,"violin"
"100","001",7,2,1,8,2,"violin"
"100","000",3,4,3,5,5,"violin"
"011","010",6,1,3,6.5,3.5,"violin"
"011","001",5,4,1,7,3,"violin"
"011","000",8,0,2,8,2,"violin"
"010","001",6,1,3,6.5,3.5,"violin"
"010","000",6,2,2,7,3,"violin"
"001","000",5,2,3,6,4,"violin"
"111","110",0,3,2,1.5,3.5,"cello"
"111","101",3,1,1,3.5,1.5,"cello"
"111","100",2,1,2,2.5,2.5,"cello"
"111","011",2,2,1,3,2,"cello"
"111","010",4,0,1,4,1,"cello"
"111","001",4,0,1,4,1,"cello"
"111","000",2,3,0,3.5,1.5,"cello"
"110","101",1,3,1,2.5,2.5,"cello"
"110","100",1,1,3,1.5,3.5,"cello"
"110","011",4,1,0,4.5,0.5,"cello"
"110","010",2,3,0,3.5,1.5,"cello"
"110","001",4,0,1,4,1,"cello"
"110","000",4,1,0,4.5,0.5,"cello"
"101","100",1,2,2,2,3,"cello"
"101","011",2,3,0,3.5,1.5,"cello"
"101","010",1,3,1,2.5,2.5,"cello"
"101","001",3,2,0,4,1,"cello"
"101","000",3,2,0,4,1,"cello"
"100","011",1,3,1,2.5,2.5,"cello"
"100","010",2,1,2,2.5,2.5,"cello"
"100","001",5,0,0,5,0,"cello"
"100","000",4,0,1,4,1,"cello"
"011","010",0,3,2,1.5,3.5,"cello"
"011","001",2,3,0,3.5,1.5,"cello"
"011","000",4,0,1,4,1,"cello"
"010","001",3,2,0,4,1,"cello"
"010","000",4,1,0,4.5,0.5,"cello"
"001","000",1,2,2,2,3,"cello"
"111","110",1,1,3,1.5,3.5,"flute"
"111","101",0,1,4,0.5,4.5,"flute"
"111","100",0,1,4,0.5,4.5,"flute"
"111","011",2,2,1,3,2,"flute"
"111","010",3,1,1,3.5,1.5,"flute"
"111","001",5,0,0,5,0,"flute"
"111","000",5,0,0,5,0,"flute"
"110","101",3,0,2,3,2,"flute"
"110","100",1,2,2,2,3,"flute"
"110","011",2,1,2,2.5,2.5,"flute"
"110","010",2,1,2,2.5,2.5,"flute"
"110","001",4,1,0,4.5,0.5,"flute"
"110","000",3,1,1,3.5,1.5,"flute"
"101","100",3,0,2,3,2,"flute"
"101","011",2,0,3,2,3,"flute"
"101","010",3,0,2,3,2,"flute"
"101","001",3,2,0,4,1,"flute"
"101","000",3,1,1,3.5,1.5,"flute"
"100","011",1,0,4,1,4,"flute"
"100","010",1,1,3,1.5,3.5,"flute"
"100","001",5,0,0,5,0,"flute"
"100","000",4,0,1,4,1,"flute"
"011","010",2,0,3,2,3,"flute"
"011","001",4,1,0,4.5,0.5,"flute"
"011","000",1,2,2,2,3,"flute"
"010","001",5,0,0,5,0,"flute"
"010","000",4,1,0,4.5,0.5,"flute"
"001","000",2,2,1,3,2,"flute"
